ID,weight_schale_mg,weight_alle_mg,weight_netto_mg,radius1_cm,radius2_cm,Area_cm2,Comments
p79-42,470,487.8,17.8,"4,2",,,
p79-44,400,461.5,61.5,"3,5",,,
p79-46,420,481.6,61.6,"4,2",,,
p79-47,460,512.8,52.8,"4,2",,,
p79-48,460,487.3,27.3,"4,2",,,
p79-49,480,537.9,57.9,,,,
p79-50,440,492.6,52.6,"4,2",,,
p79-54,430,453,23,"4,2",,,
p79-61,440,498.3,58.3,"4,2",,,
p79-66,450,475.1,25.1,"4,2",,,
p79-68,470,538.6,68.6,"4,0",,,
p79-69,420,505.6,85.6,"4,2",,,
p79-75,450,469.3,19.3,"4,2",,,
p79-80,470,487.8,17.8,"4,2",,,
p79-81,470,514.7,44.7,"4,0","3,4",,
p79-82,450,511.1,61.1,"3,5","3,6",,
p79-85,470,505.2,35.2,"3,7","3,5",,
p79-86,490,496.8,6.8,"4,2",,,
p79-89,470,500.3,30.3,"4,2",,,
p79-95,440,468.4,28.4,"4,2",,,
p79-96,450,495.8,45.8,"3,6",,,
p79-97,450,491.6,41.6,"3,6","2,9",,
p79-99,480,536.9,56.9,"4,2",,,
